practice,stim1,stim2,correctResp,response,isCorrect,RT
1,klud,slud,1,1!,1,2.24726479197852
1,brile,chod,2,2@,1,2.88051183195785
1,zuve,krove,2,,0,
0,zeil,cheil,1,,0,
0,cho,zai,2,,0,
0,daber,thaber,1,,,
0,relp,mulp,2,,,
0,lek,blek,1,,,
0,tud,lud,2,,,
0,keiz,teiz,1,,,
0,slaed,dzrif,2,,,
0,pama,yama,1,,,
0,sleik,frik,2,,,
0,mauer,fower,1,,,
0,glit,jit,1,,,
0,hickel,mickel,1,,,
0,slov,ruv,2,,,
0,vocket,gocker,2,,,
0,cholid,talad,2,,,
0,frav,nuv,2,,,
0,pril,bril,1,,,
0,skait,chait,1,,,
0,zible,rable,2,,,
0,dzeir,zor,2,,,
0,shimber,bumber,2,,,
0,chaun,bron,2,,,
0,fode,dod,1,,,
0,dzrin,vin,2,,,
0,jink,nink,1,,,
0,wounty,nounter,2,,,
0,pip,frip,1,,,
0,jrate,peit,1,,,
0,mizer,pizer,1,,,
0,teiz,koz,2,,,
0,blek,nik,2,,,
0,rable,zable,1,,,
0,zo,cho,1,,,
0,mulp,rulp,1,,,
0,flud,tud,1,,,
0,talad,chalad,1,,,
0,vin,drin,1,,,
0,nounty,wounty,1,,,
0,bron,chon,1,,,
0,zeIr,dzeir,1,,,
0,nuv,fruv,1,,,
0,thaber,daiber,2,,,
0,gocket,vocket,1,,,
0,yama,poma,2,,,
0,dod,fayd,2,,,
0,dzrif,tif,1,,,
0,fower,mauwel,2,,,
0,peit,dret,2,,,
0,frip,plak,2,,,
0,micket,hickel,2,,,
0,cheil,zol,2,,,
0,chait,vit,2,,,
0,shimber,bimber,1,,,
0,bril,droil,2,,,
0,nink,saint,2,,,
0,pizer,mizen,2,,,
0,maut,glit,2,,,
0,tov,slov,1,,,
0,freik,sleik,1,,,
