practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp,stimsClicked,isCorrect,response,RT,startTimePointInVideo,endTimePointInVideo
1,feet,rat,seat,,,yny,yny,1,,4.78986578993499,4.40795373683795,12.2252284840215
1,boy,toy,bay,,,yyn,yyn,1,,3.68467265204526,14.8296830928884,20.1510556610301
1,light,time,kite,,,yny,yny,1,,4.37429743609391,21.8614578789566,27.6835068908986
1,bag,cat,rag,,,yny,yny,1,,3.91673717997037,29.410442673834,34.8160496000201
0,vase,house,mouse,sfp,cvc,nyy,,,,,,
0,drill,grill,snail,sfp,ccvc,yyn,,,,,,
0,shirt,dirt,shells,sip,cvcc,yyn,,,,,,
0,boy,cat,bat,sip,cvc,nyy,,,,,,
0,frown,clown,frog,sip,ccvc,yyn,,,,,,
0,cream,steam,plum,sfp,ccvc,yyn,,,,,,
0,horn,fern,corn,sfp,cvcc,yny,,,,,,
0,well,hen,bell,ssv,cvc,yny,,,,,,
0,flint,plant,quint,sfp,ccvcc,yny,,,,,,
0,wand,dots,pond,ssv,cvcc,yny,,,,,,
0,net,head,shed,ssv,cvc,nyy,,,,,,
0,stamp,branch,clamp,ssv,ccvcc,yny,,,,,,
0,skunk,trunk,skirt,sip,ccvcc,yyn,,,,,,
0,crane,brain,cross,sip,ccvc,yyn,,,,,,
0,quilt,shrimp,blimp,ssv,ccvcc,nyy,,,,,,
