practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp,stimsClicked,isCorrect,response,RT,startTimePointInVideo,endTimePointInVideo,correctSFP,correctSIV,correctSSV
1,feet,rat,seat,,,yny,yny,1,,4.37861500796862,3.13741803518496,9.12777499319054,,,
1,boy,toy,bay,,,yyn,yyn,1,,3.61426056292839,11.0955895751249,16.1081630990375,,,
1,light,time,kite,,,yny,yny,1,,4.29955056984909,17.4857091901358,23.3442351180129,,,
1,bag,cat,rag,,,yny,yny,1,,6.5964800149668,24.8599073090591,33.4928154281806,,,
0,vase,house,mouse,sfp,cvc,nyy,nyy,1,,4.5772564408835,35.1993048710283,41.243184595136,0,0,0
0,drill,grill,snail,sfp,ccvc,yyn,yyn,1,,4.45698561915196,42.7655869051814,48.5058158761822,0,0,0
0,shirt,dirt,shells,sip,cvcc,yyn,yyn,1,,4.86789521179162,50.7020924910903,57.0511218041647,0,0,0
0,boy,cat,bat,sip,cvc,nyy,yyn,0,,5.37487081787549,59.5561475011054,66.1765168150887,0,0,0
0,frown,clown,frog,sip,ccvc,yyn,,,,,,,,,
0,cream,steam,plum,sfp,ccvc,yyn,,,,,,,,,
0,horn,fern,corn,sfp,cvcc,yny,,,,,,,,,
0,well,hen,bell,ssv,cvc,yny,,,,,,,,,
0,flint,plant,quint,sfp,ccvcc,yny,,,,,,,,,
0,wand,dots,pond,ssv,cvcc,yny,,,,,,,,,
0,net,head,shed,ssv,cvc,nyy,,,,,,,,,
0,stamp,branch,clamp,ssv,ccvcc,yny,,,,,,,,,
0,skunk,trunk,skirt,sip,ccvcc,yyn,,,,,,,,,
0,crane,brain,cross,sip,ccvc,yyn,,,,,,,,,
0,quilt,shrimp,blimp,ssv,ccvcc,nyy,,,,,,,,,
