practice,stim1,stim2,stim3,conditionType,wordStructure,correctResp
1,feet,rat,seat,,,yny
1,boy,toy,bay,,,yyn
1,light,time,kite,,,yny
1,bag,cat,rag,,,yny
0,trunk,clump,stump,ssv,ccvcc,nyy
0,bride,cloud,slide,sfp,ccvc,yny
0,pool,fin,pin,sip,cvc,nyy
0,stove,flake,steak,sip,ccvc,nyy
0,tracks,slacks,bricks,sfp,ccvcc,yyn
0,tent,vent,desk,ssv,cvcc,yyn
0,toast,list,fist,sfp,cvcc,nyy
0,bat,fan,pan,ssv,cvc,nyy
0,mop,top,mail,sip,cvc,yyn
0,sword,belt,board,sip,cvcc,yny
0,plate,skate,flame,ssv,ccvc,yyn
0,drapes,ground,grapes,sip,ccvcc,yny
0,stick,truck,brick,sfp,ccvc,yny
0,hut,boat,coat,sfp,cvc,nyy
0,vest,shelf,chest,ssv,cvcc,yny
