practice,stim1,stim2,correctResp,response,isCorrect,RT
1,goal,soul,1,1!,1,1.88276750897057
1,smile,prod,2,,,
1,boat,coat,1,,,
0,grief,chief,1,,,
0,tide,code,2,,,
0,wet,freight,2,,,
0,sew,know,1,,,
0,cove,stove,1,,,
0,labor,cyber,2,,,
0,picket,nickel,2,,,
0,llama,coma,2,,,
0,cable,label,1,,,
0,bite,spit,2,,,
0,break,steak,1,,,
0,flood,mud,1,,,
0,link,pint,2,,,
0,locket,pocket,1,,,
0,haze,doze,2,,,
0,bean,scene,1,,,
0,number,lumber,1,,,
0,groan,drone,1,,,
0,gulp,pulp,1,,,
0,county,bounty,1,,,
0,bare,pear,1,,,
0,move,prove,1,,,
0,power,towel,2,,,
0,shout,fleet,2,,,
0,frill,broil,2,,,
0,pail,mole,2,,,
0,fleck,cheek,2,,,
0,ballad,salad,1,,,
0,drip,flock,2,,,
0,seizure,lesion,2,,,
0,saber,labor,1,,,
0,pear,boar,1,,,
0,stick,break,2,,,
0,help,gulp,1,,,
0,fleet,sheet,1,,,
0,maze,haze,1,,,
0,comma,llama,1,,,
0,limber,number,2,,,
0,spite,bite,1,,,
0,bounty,counter,2,,,
0,leisure,seizure,2,,,
0,freight,weight,2,,,
0,plaid,grief,2,,,
0,check,fleck,2,,,
0,mood,flood,1,,,
0,chill,frill,1,,,
0,stove,glove,1,,,
0,pocket,locker,1,,,
0,code,toad,1,,,
0,scene,bin,2,,,
0,mail,pail,1,,,
0,libel,cable,2,,,
0,tower,power,2,,,
0,down,groan,2,,,
0,nickel,pickle,1,,,
0,know,sigh,1,,,
0,prove,mauve,2,,,
0,pink,link,2,,,
0,whip,drip,2,,,
0,solid,ballad,2,,,
